,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,10.4%,52.2%,47.8%,"995,571"
1,2,Haven,15.1%,50.9%,49.1%,"1,443,096"
2,3,Breeze,14.8%,50.6%,49.4%,"1,411,476"
3,4,Icebox,14.9%,50.5%,49.5%,"1,425,246"
4,5,Fracture,14.9%,49.3%,50.7%,"1,422,288"
5,6,Bind,15.0%,48.0%,52.0%,"1,437,435"
6,7,Ascent,14.9%,48.0%,52.0%,"1,429,887"
