,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,13.7%,50.7%,49.3%,"188,853"
1,2,Breeze,14.2%,50.4%,49.6%,"195,432"
2,3,Haven,14.5%,49.9%,50.1%,"199,767"
3,4,Fracture,14.2%,48.9%,51.1%,"195,126"
4,5,Bind,14.5%,47.9%,52.1%,"199,002"
5,6,Ascent,14.4%,47.1%,52.9%,"198,135"
