,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.3%,50.0%,"18,105",
1,2,Icebox,20.7%,48.4%,51.6%,"18,462"
2,3,Bind,19.9%,47.3%,52.7%,"17,748"
3,4,Ascent,20.7%,47.2%,52.8%,"18,411"
4,5,Split,18.4%,46.3%,53.7%,"16,371"
