,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.3%,51.8%,48.2%,"676,056"
1,2,Fracture,14.0%,51.5%,48.5%,"658,818"
2,3,Breeze,14.2%,51.3%,48.7%,"671,109"
3,4,Haven,14.3%,51.1%,48.9%,"676,668"
4,5,Bind,14.3%,49.0%,51.0%,"675,189"
5,6,Split,14.4%,48.8%,51.2%,"678,147"
6,7,Ascent,14.5%,48.5%,51.5%,"684,114"
