,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.3%,51.2%,48.8%,"1,211,505"
1,2,Icebox,14.4%,50.7%,49.3%,"1,214,055"
2,3,Breeze,14.1%,50.6%,49.4%,"1,196,256"
3,4,Fracture,13.9%,49.9%,50.1%,"1,177,539"
4,5,Split,14.3%,48.0%,52.0%,"1,211,352"
5,6,Ascent,14.4%,48.0%,52.0%,"1,215,534"
6,7,Bind,14.5%,47.8%,52.2%,"1,225,836"
