,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,18.7%,51.1%,48.9%,"1,399,389"
1,2,Haven,20.3%,51.0%,49.0%,"1,514,904"
2,3,Bind,20.4%,48.8%,51.2%,"1,520,412"
3,4,Split,20.2%,48.3%,51.7%,"1,507,764"
4,5,Ascent,20.5%,48.3%,51.7%,"1,528,572"
