,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,16.7%,52.0%,48.0%,"534,327"
1,2,Breeze,14.5%,51.9%,48.1%,"464,967"
2,3,Haven,17.1%,50.9%,49.1%,"546,057"
3,4,Split,17.2%,49.1%,50.9%,"548,811"
4,5,Bind,17.1%,49.0%,51.0%,"547,740"
5,6,Ascent,17.3%,48.4%,51.6%,"553,809"
