,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,11.0%,51.0%,49.0%,"197,472"
1,2,Breeze,14.7%,50.7%,49.3%,"262,497"
2,3,Haven,15.0%,50.7%,49.3%,"268,362"
3,4,Icebox,15.0%,49.9%,50.1%,"268,464"
4,5,Ascent,14.7%,47.7%,52.3%,"262,956"
5,6,Fracture,14.6%,47.6%,52.4%,"261,477"
6,7,Bind,15.0%,47.2%,52.8%,"268,107"
