,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.1%,52.1%,47.9%,"390,354"
1,2,Breeze,14.4%,51.5%,48.5%,"397,137"
2,3,Fracture,13.7%,51.2%,48.8%,"378,879"
3,4,Haven,14.4%,51.1%,48.9%,"396,729"
4,5,Split,14.4%,49.3%,50.7%,"397,851"
5,6,Bind,14.3%,49.2%,50.8%,"395,454"
6,7,Ascent,14.6%,48.6%,51.4%,"402,288"
