,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.2%,52.6%,47.4%,"330,786"
1,2,Fracture,14.2%,52.3%,47.7%,"331,857"
2,3,Breeze,14.2%,51.7%,48.3%,"329,970"
3,4,Haven,14.3%,51.1%,48.9%,"333,387"
4,5,Bind,14.2%,49.5%,50.5%,"331,347"
5,6,Ascent,14.7%,48.5%,51.5%,"343,485"
