,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,15.1%,51.0%,49.0%,"12,546"
1,2,Icebox,14.8%,50.0%,"12,291",
2,3,Haven,14.1%,47.9%,52.1%,"11,730"
3,4,Bind,14.2%,47.8%,52.2%,"11,781"
4,5,Fracture,12.0%,46.4%,53.6%,"9,945"
5,6,Split,14.9%,45.7%,54.3%,"12,393"
6,7,Ascent,14.6%,45.6%,54.4%,"12,138"
