,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.5%,50.3%,49.7%,"186,966"
1,2,Breeze,14.1%,50.2%,49.8%,"182,529"
2,3,Haven,14.7%,50.0%,"189,822",
3,4,Split,14.6%,47.2%,52.8%,"187,884"
4,5,Ascent,13.9%,47.2%,52.8%,"179,877"
5,6,Fracture,13.5%,47.2%,52.8%,"174,471"
6,7,Bind,14.6%,46.7%,53.3%,"188,496"
