,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.2%,52.6%,47.4%,"489,294"
1,2,Fracture,14.0%,52.3%,47.7%,"483,378"
2,3,Breeze,14.3%,51.6%,48.4%,"493,782"
3,4,Haven,14.4%,51.1%,48.9%,"498,117"
4,5,Bind,14.4%,49.4%,50.6%,"497,556"
5,6,Ascent,14.6%,48.3%,51.7%,"504,237"
