,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.4%,51.2%,48.8%,"1,738,692"
1,2,Breeze,14.0%,51.1%,48.9%,"1,697,229"
2,3,Icebox,14.3%,51.1%,48.9%,"1,727,829"
3,4,Fracture,14.1%,50.8%,49.2%,"1,709,112"
4,5,Bind,14.6%,48.7%,51.3%,"1,766,436"
5,6,Split,14.1%,48.5%,51.5%,"1,711,713"
6,7,Ascent,14.4%,48.2%,51.8%,"1,745,475"
