,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.1%,51.8%,48.2%,"1,127,100"
1,2,Haven,14.3%,51.0%,49.0%,"1,141,941"
2,3,Breeze,14.1%,50.7%,49.3%,"1,127,151"
3,4,Fracture,14.3%,50.7%,49.3%,"1,143,216"
4,5,Bind,14.5%,48.2%,51.8%,"1,154,436"
5,6,Ascent,14.4%,47.9%,52.1%,"1,147,194"
