,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.3%,51.0%,49.0%,"241,536"
1,2,Icebox,14.7%,50.8%,49.2%,"265,914"
2,3,Haven,14.8%,50.8%,49.2%,"268,464"
3,4,Fracture,11.8%,49.9%,50.1%,"213,996"
4,5,Split,14.8%,47.7%,52.3%,"267,801"
5,6,Bind,15.1%,47.7%,52.3%,"272,748"
6,7,Ascent,15.5%,47.5%,52.5%,"280,755"
