,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,14.3%,49.9%,50.1%,"53,958"
1,2,Pearl,13.8%,49.8%,50.2%,"52,020"
2,3,Haven,14.1%,49.1%,50.9%,"52,938"
3,4,Fracture,14.1%,48.8%,51.2%,"53,193"
4,5,Bind,14.4%,47.5%,52.5%,"54,264"
5,6,Ascent,14.7%,46.3%,53.7%,"55,182"
