,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.7%,51.8%,48.2%,"1,220,685"
1,2,Breeze,13.7%,51.5%,48.5%,"1,140,768"
2,3,Fracture,11.6%,51.4%,48.6%,"961,401"
3,4,Haven,15.0%,51.2%,48.8%,"1,243,686"
4,5,Bind,15.0%,49.0%,51.0%,"1,248,072"
5,6,Split,15.0%,48.8%,51.2%,"1,248,378"
6,7,Ascent,15.0%,48.4%,51.6%,"1,251,183"
