,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.3%,52.5%,47.5%,"847,110"
1,2,Fracture,14.1%,52.2%,47.8%,"838,440"
2,3,Breeze,14.2%,51.5%,48.5%,"842,622"
3,4,Haven,14.4%,51.2%,48.8%,"855,576"
4,5,Bind,14.2%,49.3%,50.7%,"844,662"
5,6,Ascent,14.6%,48.2%,51.8%,"863,685"
