,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.4%,51.3%,48.7%,"1,695,699"
1,2,Breeze,14.1%,51.0%,49.0%,"1,664,844"
2,3,Icebox,14.3%,50.9%,49.1%,"1,688,457"
3,4,Fracture,14.1%,50.6%,49.4%,"1,666,629"
4,5,Bind,14.5%,48.6%,51.4%,"1,712,019"
5,6,Split,14.2%,48.4%,51.6%,"1,673,514"
6,7,Ascent,14.4%,48.2%,51.8%,"1,696,770"
