,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,17.8%,51.5%,48.5%,"651,321"
1,2,Breeze,12.6%,51.1%,48.9%,"462,468"
2,3,Icebox,16.7%,50.6%,49.4%,"612,918"
3,4,Split,17.3%,48.5%,51.5%,"633,675"
4,5,Ascent,17.7%,48.1%,51.9%,"648,924"
5,6,Bind,17.8%,47.7%,52.3%,"653,667"
