,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.8%,51.4%,48.6%,"43,680"
1,2,Icebox,16.8%,50.7%,49.3%,"35,125"
2,3,Bind,21.2%,48.6%,51.4%,"44,344"
3,4,Split,20.3%,48.6%,51.4%,"42,510"
4,5,Ascent,21.0%,47.9%,52.1%,"43,989"
