,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,10.6%,51.5%,48.5%,"411,417"
1,2,Haven,15.3%,50.6%,49.4%,"593,844"
2,3,Breeze,14.6%,50.4%,49.6%,"564,366"
3,4,Icebox,14.8%,49.9%,50.1%,"573,801"
4,5,Fracture,14.6%,48.2%,51.8%,"567,630"
5,6,Ascent,14.9%,47.5%,52.5%,"578,136"
6,7,Bind,15.1%,47.3%,52.7%,"584,919"
