,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.3%,51.2%,48.8%,"1,662,396"
1,2,Icebox,14.3%,51.1%,48.9%,"1,652,298"
2,3,Breeze,14.2%,51.0%,49.0%,"1,643,832"
3,4,Fracture,13.9%,50.9%,49.1%,"1,609,815"
4,5,Bind,14.5%,48.4%,51.6%,"1,685,091"
5,6,Split,14.4%,48.3%,51.7%,"1,669,638"
6,7,Ascent,14.4%,48.3%,51.7%,"1,665,354"
