,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.9%,51.2%,48.8%,"1,734,357"
1,2,Breeze,13.3%,51.2%,48.8%,"1,546,473"
2,3,Haven,15.1%,51.1%,48.9%,"1,756,389"
3,4,Fracture,11.1%,51.1%,48.9%,"1,292,595"
4,5,Bind,15.1%,48.3%,51.7%,"1,755,675"
5,6,Split,15.1%,48.3%,51.7%,"1,754,196"
6,7,Ascent,15.5%,48.2%,51.8%,"1,802,799"
