,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,17.8%,50.6%,49.4%,"19,533"
1,2,Haven,20.0%,49.3%,50.7%,"21,930"
2,3,Breeze,7.8%,48.7%,51.3%,"8,568"
3,4,Split,17.5%,45.7%,54.3%,"19,176"
4,5,Ascent,18.8%,45.5%,54.5%,"20,604"
5,6,Bind,17.8%,45.4%,54.6%,"19,533"
