,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.1%,52.1%,47.9%,"1,394,289"
1,2,Fracture,14.2%,51.4%,48.6%,"1,400,154"
2,3,Haven,14.3%,51.1%,48.9%,"1,413,006"
3,4,Breeze,14.2%,51.1%,48.9%,"1,399,491"
4,5,Bind,14.4%,48.7%,51.3%,"1,420,656"
5,6,Ascent,14.5%,48.1%,51.9%,"1,427,643"
