,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,10.3%,52.5%,47.5%,"1,259,190"
1,2,Haven,15.0%,51.0%,49.0%,"1,826,412"
2,3,Icebox,15.1%,50.7%,49.3%,"1,839,060"
3,4,Breeze,14.6%,50.6%,49.4%,"1,785,306"
4,5,Fracture,14.8%,50.2%,49.8%,"1,806,930"
5,6,Bind,15.0%,48.5%,51.5%,"1,834,113"
6,7,Ascent,15.1%,48.1%,51.9%,"1,838,193"
