,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,21.2%,51.2%,48.8%,"14,118"
1,2,Icebox,16.5%,50.0%,"10,966",
2,3,Bind,21.3%,48.3%,51.7%,"14,151"
3,4,Split,20.0%,48.0%,52.0%,"13,314"
4,5,Ascent,21.0%,47.8%,52.2%,"13,951"
