,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.5%,50.2%,49.8%,"46,410"
1,2,Pearl,14.4%,49.9%,50.1%,"46,155"
2,3,Breeze,13.7%,49.8%,50.2%,"44,115"
3,4,Icebox,14.2%,49.1%,50.9%,"45,543"
4,5,Bind,14.1%,47.8%,52.2%,"45,390"
5,6,Fracture,14.6%,47.5%,52.5%,"47,022"
6,7,Ascent,14.4%,46.4%,53.6%,"46,359"
