,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.0%,51.6%,48.4%,"971,499"
1,2,Haven,14.5%,50.9%,49.1%,"1,002,711"
2,3,Breeze,14.2%,50.7%,49.3%,"982,974"
3,4,Fracture,14.3%,50.3%,49.7%,"990,216"
4,5,Bind,14.5%,48.1%,51.9%,"1,005,567"
5,6,Ascent,14.4%,47.9%,52.1%,"996,897"
