,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.7%,50.3%,49.7%,"70,431"
1,2,Haven,14.3%,50.1%,49.9%,"73,389"
2,3,Icebox,14.7%,49.8%,50.2%,"75,582"
3,4,Bind,14.5%,47.0%,53.0%,"74,613"
4,5,Ascent,14.5%,46.9%,53.1%,"74,511"
5,6,Split,13.7%,46.8%,53.2%,"70,380"
6,7,Fracture,14.4%,46.8%,53.2%,"73,797"
