,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.1%,51.2%,48.8%,"740,877"
1,2,Haven,14.5%,50.8%,49.2%,"765,408"
2,3,Breeze,14.2%,50.5%,49.5%,"749,904"
3,4,Fracture,14.2%,49.8%,50.2%,"747,252"
4,5,Bind,14.5%,47.9%,52.1%,"763,878"
5,6,Ascent,14.2%,47.6%,52.4%,"749,445"
