,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.7%,51.3%,48.7%,"21,216"
1,2,Icebox,14.3%,50.5%,49.5%,"22,185"
2,3,Haven,14.2%,49.0%,51.0%,"22,032"
3,4,Bind,15.7%,47.2%,52.8%,"24,378"
4,5,Ascent,14.6%,46.8%,53.2%,"22,695"
5,6,Split,15.7%,46.7%,53.3%,"24,327"
6,7,Fracture,11.9%,45.7%,54.3%,"18,411"
