,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,14.0%,51.4%,48.6%,"1,375,776"
1,2,Fracture,14.1%,51.3%,48.7%,"1,381,029"
2,3,Icebox,14.3%,51.3%,48.7%,"1,403,775"
3,4,Haven,14.4%,51.2%,48.8%,"1,412,598"
4,5,Bind,14.6%,48.9%,51.1%,"1,427,388"
5,6,Split,14.1%,48.5%,51.5%,"1,382,865"
6,7,Ascent,14.5%,48.4%,51.6%,"1,417,749"
