,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.5%,51.3%,48.7%,"251,991"
1,2,Breeze,13.4%,51.3%,48.7%,"233,835"
2,3,Haven,15.0%,50.2%,49.8%,"261,069"
3,4,Fracture,12.3%,48.6%,51.4%,"213,231"
4,5,Split,14.3%,47.2%,52.8%,"248,574"
5,6,Ascent,15.4%,47.2%,52.8%,"268,005"
6,7,Bind,15.1%,46.8%,53.2%,"263,364"
