,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,17.7%,51.4%,48.6%,"817,683"
1,2,Breeze,12.7%,51.2%,48.8%,"584,103"
2,3,Icebox,16.7%,50.6%,49.4%,"773,211"
3,4,Split,17.4%,48.3%,51.7%,"802,077"
4,5,Ascent,17.6%,48.3%,51.7%,"813,450"
5,6,Bind,17.9%,47.9%,52.1%,"825,180"
