,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.5%,51.2%,48.8%,"56,654"
1,2,Icebox,17.6%,50.8%,49.2%,"48,821"
2,3,Bind,20.7%,48.9%,51.1%,"57,198"
3,4,Split,20.2%,48.5%,51.5%,"55,966"
4,5,Ascent,21.0%,48.0%,52.0%,"58,097"
