,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.3%,51.4%,48.6%,"807,483"
1,2,Haven,14.6%,50.9%,49.1%,"824,772"
2,3,Breeze,14.2%,50.4%,49.6%,"802,587"
3,4,Icebox,14.2%,50.2%,49.8%,"805,494"
4,5,Fracture,14.1%,49.1%,50.9%,"797,691"
5,6,Ascent,14.2%,47.9%,52.1%,"803,505"
6,7,Bind,14.5%,47.7%,52.3%,"818,040"
