,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.7%,51.2%,48.8%,"9,755"
1,2,Icebox,16.6%,49.7%,50.3%,"7,849"
2,3,Split,20.0%,48.2%,51.8%,"9,425"
3,4,Ascent,20.9%,47.9%,52.1%,"9,851"
4,5,Bind,21.8%,47.9%,52.1%,"10,265"
