,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,18.0%,50.8%,49.2%,"178,857"
1,2,Breeze,8.8%,50.6%,49.4%,"87,924"
2,3,Icebox,17.7%,50.4%,49.6%,"176,460"
3,4,Ascent,18.7%,48.0%,52.0%,"185,691"
4,5,Split,18.1%,47.3%,52.7%,"179,877"
5,6,Bind,18.7%,47.1%,52.9%,"186,048"
