,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,18.9%,51.5%,48.5%,"29,505"
1,2,Haven,20.3%,50.8%,49.2%,"31,750"
2,3,Bind,20.3%,49.1%,50.9%,"31,662"
3,4,Split,20.1%,48.7%,51.3%,"31,456"
4,5,Ascent,20.4%,47.8%,52.2%,"31,843"
