,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,8.5%,51.6%,48.4%,"499,341"
1,2,Haven,18.4%,51.0%,49.0%,"1,074,672"
2,3,Icebox,17.4%,50.7%,49.3%,"1,014,492"
3,4,Ascent,18.7%,48.3%,51.7%,"1,091,910"
4,5,Split,18.4%,48.3%,51.7%,"1,078,242"
5,6,Bind,18.6%,48.0%,52.0%,"1,085,637"
