,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.5%,50.4%,49.6%,"302,379"
1,2,Icebox,14.6%,50.3%,49.7%,"303,858"
2,3,Breeze,14.0%,50.2%,49.8%,"291,567"
3,4,Fracture,13.6%,47.9%,52.1%,"283,152"
4,5,Ascent,14.2%,47.6%,52.4%,"295,902"
5,6,Split,14.5%,47.6%,52.4%,"301,869"
6,7,Bind,14.6%,46.8%,53.2%,"304,725"
