,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,19.2%,51.2%,48.8%,"964,818"
1,2,Haven,20.1%,50.6%,49.4%,"1,007,607"
2,3,Bind,20.2%,48.9%,51.1%,"1,011,687"
3,4,Split,20.3%,48.4%,51.6%,"1,019,031"
4,5,Ascent,20.1%,48.1%,51.9%,"1,009,443"
