,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,21.3%,51.2%,48.8%,"8,763"
1,2,Icebox,16.5%,49.4%,50.6%,"6,758"
2,3,Ascent,21.3%,47.9%,52.1%,"8,735"
3,4,Split,19.7%,47.8%,52.2%,"8,077"
4,5,Bind,21.3%,47.6%,52.4%,"8,733"
