,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.5%,51.1%,48.9%,"831,045"
1,2,Icebox,18.2%,50.7%,49.3%,"737,562"
2,3,Ascent,20.5%,48.3%,51.7%,"828,342"
3,4,Split,20.2%,48.3%,51.7%,"817,632"
4,5,Bind,20.6%,48.1%,51.9%,"835,176"
