,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,9.1%,51.8%,48.2%,"695,793"
1,2,Icebox,17.5%,51.2%,48.8%,"1,330,131"
2,3,Haven,18.0%,50.8%,49.2%,"1,369,962"
3,4,Bind,18.5%,48.8%,51.2%,"1,405,917"
4,5,Split,18.4%,48.3%,51.7%,"1,398,318"
5,6,Ascent,18.5%,48.1%,51.9%,"1,407,702"
