,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,13.9%,48.3%,51.7%,"9,537"
1,2,Breeze,13.9%,48.0%,52.0%,"9,486"
2,3,Haven,11.6%,47.4%,52.6%,"7,905"
3,4,Fracture,15.7%,47.3%,52.7%,"10,710"
4,5,Bind,15.2%,47.0%,53.0%,"10,404"
5,6,Ascent,13.8%,45.0%,55.0%,"9,435"
