,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.4%,50.8%,49.2%,"34,986"
1,2,Icebox,14.8%,49.9%,50.1%,"38,760"
2,3,Haven,14.5%,49.1%,50.9%,"37,944"
3,4,Bind,15.7%,47.6%,52.4%,"41,106"
4,5,Split,14.7%,47.2%,52.8%,"38,607"
5,6,Fracture,12.7%,47.0%,53.0%,"33,303"
6,7,Ascent,14.2%,46.6%,53.4%,"37,179"
