,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.9%,51.0%,49.0%,"481,134"
1,2,Icebox,15.0%,51.0%,49.0%,"482,613"
2,3,Breeze,13.4%,50.7%,49.3%,"432,888"
3,4,Fracture,11.5%,50.6%,49.4%,"372,555"
4,5,Bind,15.3%,48.4%,51.6%,"492,558"
5,6,Split,15.0%,47.9%,52.1%,"482,664"
6,7,Ascent,15.0%,47.9%,52.1%,"483,021"
