,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.7%,51.7%,48.3%,"1,453,449"
1,2,Fracture,11.3%,51.5%,48.5%,"1,120,368"
2,3,Breeze,13.7%,51.5%,48.5%,"1,349,715"
3,4,Haven,15.0%,51.3%,48.7%,"1,483,233"
4,5,Bind,15.0%,48.9%,51.1%,"1,477,266"
5,6,Split,15.1%,48.7%,51.3%,"1,492,974"
6,7,Ascent,15.2%,48.3%,51.7%,"1,499,961"
