,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Fracture,7.3%,51.3%,48.7%,"234,192"
1,2,Breeze,13.2%,51.3%,48.7%,"427,278"
2,3,Haven,16.2%,51.2%,48.8%,"522,699"
3,4,Icebox,15.6%,51.1%,48.9%,"504,288"
4,5,Ascent,16.2%,48.2%,51.8%,"522,597"
5,6,Split,15.5%,47.9%,52.1%,"500,820"
6,7,Bind,16.0%,47.7%,52.3%,"516,987"
