,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.5%,52.5%,47.5%,"177,276"
1,2,Breeze,14.0%,51.9%,48.1%,"171,564"
2,3,Haven,14.3%,51.5%,48.5%,"174,675"
3,4,Fracture,12.9%,51.2%,48.8%,"158,151"
4,5,Split,14.5%,50.0%,"177,786",
5,6,Bind,14.8%,49.1%,50.9%,"180,744"
6,7,Ascent,14.9%,48.8%,51.2%,"182,784"
