,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,19.2%,52.0%,48.0%,"21,961"
1,2,Haven,20.2%,50.6%,49.4%,"23,175"
2,3,Bind,20.0%,49.2%,50.8%,"22,934"
3,4,Split,20.3%,49.0%,51.0%,"23,244"
4,5,Ascent,20.3%,47.9%,52.1%,"23,207"
