,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.0%,51.6%,48.4%,"1,930,503"
1,2,Haven,17.5%,51.4%,48.6%,"2,594,421"
2,3,Icebox,16.8%,51.2%,48.8%,"2,490,177"
3,4,Bind,17.7%,48.8%,51.2%,"2,623,848"
4,5,Split,17.4%,48.5%,51.5%,"2,577,948"
5,6,Ascent,17.6%,48.4%,51.6%,"2,607,324"
