,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.2%,51.6%,48.4%,"1,971,099"
1,2,Haven,17.5%,51.3%,48.7%,"2,600,847"
2,3,Icebox,16.8%,51.2%,48.8%,"2,503,743"
3,4,Bind,17.6%,48.9%,51.1%,"2,614,566"
4,5,Split,17.3%,48.5%,51.5%,"2,573,613"
5,6,Ascent,17.6%,48.4%,51.6%,"2,614,923"
