,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.2%,51.6%,48.4%,"932,688"
1,2,Haven,14.4%,51.1%,48.9%,"943,653"
2,3,Breeze,14.2%,50.6%,49.4%,"928,098"
3,4,Icebox,14.4%,50.2%,49.8%,"944,877"
4,5,Fracture,14.1%,49.3%,50.7%,"925,395"
5,6,Ascent,14.2%,48.0%,52.0%,"933,861"
6,7,Bind,14.5%,47.8%,52.2%,"948,498"
