,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,8.8%,51.7%,48.3%,"795,141"
1,2,Haven,18.4%,51.0%,49.0%,"1,665,456"
2,3,Icebox,17.4%,51.0%,49.0%,"1,577,226"
3,4,Bind,18.4%,48.5%,51.5%,"1,664,997"
4,5,Split,18.3%,48.3%,51.7%,"1,656,378"
5,6,Ascent,18.6%,48.1%,51.9%,"1,680,144"
