,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.4%,51.1%,48.9%,"1,586,712"
1,2,Breeze,14.1%,50.9%,49.1%,"1,562,436"
2,3,Icebox,14.3%,50.9%,49.1%,"1,577,940"
3,4,Fracture,13.9%,50.6%,49.4%,"1,538,874"
4,5,Ascent,14.3%,48.3%,51.7%,"1,580,694"
5,6,Bind,14.6%,48.3%,51.7%,"1,611,855"
6,7,Split,14.4%,48.1%,51.9%,"1,587,375"
