,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.3%,50.7%,49.3%,"617,661"
1,2,Breeze,14.0%,50.2%,49.8%,"605,727"
2,3,Icebox,14.3%,50.0%,"619,650",
3,4,Fracture,14.1%,48.5%,51.5%,"610,878"
4,5,Ascent,14.4%,47.9%,52.1%,"623,985"
5,6,Split,14.2%,47.9%,52.1%,"613,734"
6,7,Bind,14.6%,47.5%,52.5%,"631,380"
