,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,14.8%,50.5%,49.5%,"103,275"
1,2,Pearl,13.7%,50.3%,49.7%,"96,033"
2,3,Haven,14.2%,49.3%,50.7%,"99,654"
3,4,Fracture,14.2%,48.6%,51.4%,"99,297"
4,5,Bind,14.5%,47.5%,52.5%,"101,490"
5,6,Ascent,14.2%,46.4%,53.6%,"99,399"
