,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,13.9%,50.6%,49.4%,"305,082"
1,2,Breeze,14.2%,50.4%,49.6%,"312,630"
2,3,Haven,14.5%,50.4%,49.6%,"319,413"
3,4,Fracture,14.0%,48.9%,51.1%,"309,264"
4,5,Bind,14.5%,47.9%,52.1%,"319,005"
5,6,Ascent,14.5%,47.3%,52.7%,"318,546"
