,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,18.9%,52.0%,48.0%,"11,103"
1,2,Haven,20.0%,51.1%,48.9%,"11,720"
2,3,Split,20.6%,49.7%,50.3%,"12,058"
3,4,Bind,20.5%,49.2%,50.8%,"12,019"
4,5,Ascent,20.0%,48.4%,51.6%,"11,721"
